Vernier Format 2
Untitled.cmbl 10/2/17 4:21 PM .
Latest
Time	Position	Velocity	Acceleration
t	x	v	acc
s	m	m/s	m/s²

8.25	0.49049	0.0813672222222	2.43784074074
8.3	0.498379	0.204085	2.1306757716
8.35	0.5119275	0.302506944444	1.61082962963
8.4	0.5297635	0.371011666667	0.934463271605
8.45	0.550515	0.40131	0.136935339506
8.5	0.571781	0.385970277778	-0.68515308642
8.55	0.5908175	0.328517777778	-1.41249305556
8.6	0.6059095	0.237908611111	-1.9764316358
8.65	0.6155135	0.123670555556	-2.34849135802
8.7	0.6189435	-0.0060025	-2.48452685185
8.75	0.614999	-0.136723611111	-2.33335277778
8.8	0.6045375	-0.25039	-1.91545385802
8.85	0.5887595	-0.335187222222	-1.31239845679
8.9	0.569723	-0.386065555556	-0.588975462963
8.95	0.5486285	-0.397784722222	0.213739814815
9	0.5280485	-0.364056388889	0.997770061728
9.05	0.510727	-0.292502777778	1.65735694444
9.1	0.497693	-0.191794166667	2.14967839506
9.15	0.4906615	-0.0695527777778	2.4311183642
9.2	0.4903185	0.0621211111111	2.44620401235
9.25	0.4971785	0.186553888889	2.18318441358
9.3	0.5098695	0.289549166667	1.6894867284
9.35	0.5273625	0.361674444444	1.03042916667
9.4	0.547428	0.397403611111	0.25465632716
9.45	0.5688655	0.389590833333	-0.569072993827
9.5	0.588245	0.337092777778	-1.31658009259
9.55	0.6038515	0.251056944444	-1.9035970679
9.6	0.614313	0.139867777778	-2.30609274691
9.65	0.6186005	0.0112427777778	-2.47166435185
9.7	0.6155135	-0.119001944444	-2.35516080247
9.75	0.606081	-0.234764444444	-1.98151311728
9.8	0.590989	-0.324611388889	-1.42278834877
9.85	0.5722955	-0.38073	-0.784321373457
9.9	0.5513725	-0.4004525	-0.237860972222
9.95	0.5307925	-0.391734583333	0.079477546296
10	0.5126135	-0.3773	0.225331944444
