Vernier Format 2
Untitled.cmbl 11/20/17 3:51 PM .
Latest
Time	Angle	Velocity	Acceleration
t	Angle	v	a
s	rad	rad/s	rad/s²

8.5	-129.695416716	5.19720266149	1.24435511485
8.55	-129.433617328	5.24568402961	-1.7183951586
8.6	-129.17181794	5.19720266149	-8.53272078753
8.65	-128.89256526	4.61542624416	-19.0693381236
8.7	-128.665672457	3.17068147446	-26.4654401699
8.75	-128.560952702	1.45444104333	-23.6373603634
8.8	-128.560952702	0.48481368111	-13.9033790105
8.85	-128.543499409	0.193925472444	-5.6938673437
8.9	-128.543499409	0.0872664625997	-0.931919631466
8.95	-128.543499409	0.184229198822	1.46521468069
9	-128.526046117	0.31028075591	2.04160427934
9.05	-128.508592824	0.387850944888	2.39713431215
9.1	-128.491139532	0.533295049221	2.87656117458
9.15	-128.456232947	0.698131700798	2.80114571308
9.2	-128.421326362	0.853272078753	1.77765016407
9.25	-128.368966484	0.940538541352	-0.517134593183
9.3	-128.316606607	0.814486984264	-3.00584482288
9.35	-128.281700022	0.562383870087	-4.02395355321
9.4	-128.264246729	0.358762124021	-3.86773581152
9.45	-128.246793437	0.174532925199	-3.39908258645
9.5	-128.246793437	0.00969627362219	-2.60183342195
9.55	-128.246793437	-0.116355283466	-1.2820628456
9.6	-128.264246729	-0.126051557088	0.037707730753
9.65	-128.264246729	-0.048481368111	0.10773637358
9.7	-128.264246729	-0.0581776417332	-0.861890988639
9.75	-128.264246729	-0.164836651577	-1.34562730601
9.8	-128.281700022	-0.261799387799	-0.651266378291
9.85	-128.299153314	-0.213318019688	-0.165375333445
9.9	-128.299153314	-0.221075038586	-0.635105922254
9.95	-128.316606607	-0.295736345477	-0.858120215564
10	-128.334059899	-0.329673303155	-0.830647440301
